x,cos(x)-prediction
-6,0.96871620416641235352
-5.8800001144409179688,0.91755491495132446289
-5.7600002288818359375,0.85888779163360595703
-5.6399998664855957031,0.79213225841522216797
-5.5199999809265136719,0.71684861183166503906
-5.4000000953674316406,0.63280540704727172852
-5.2799997329711914062,0.54005587100982666016
-5.159999847412109375,0.43900275230407714844
-5.0399999618530273438,0.33044338226318359375
-4.9200000762939453125,0.21560043096542358398
-4.8000001907348632812,0.096102580428123474121
-4.6799998283386230469,-0.026071624830365180969
-4.5599999427795410156,-0.14869034290313720703
-4.4400000572204589844,-0.26940086483955383301
-4.3200001716613769531,-0.38586595654487609863
-4.1999998092651367188,-0.49590474367141723633
-4.0799999237060546875,-0.59759354591369628906
-3.9600002765655517578,-0.68934690952301025391
-3.8399996757507324219,-0.76994037628173828125
-3.7200000286102294922,-0.83850061893463134766
-3.5999999046325683594,-0.89446598291397094727
-3.4800000190734863281,-0.93752330541610717773
-3.3599998950958251953,-0.96754443645477294922
-3.2400000095367431641,-0.98452341556549072266
-3.1199996471405029297,-0.98852372169494628906
-2.9999997615814208984,-0.97964525222778320312
-2.8800001144409179688,-0.9580084681510925293
-2.7599999904632568359,-0.92375296354293823242
-2.6399998664855957031,-0.87706053256988525391
-2.5199999809265136719,-0.81818681955337524414
-2.4000000953674316406,-0.74750459194183349609
-2.2799999713897705078,-0.66555756330490112305
-2.1600000858306884766,-0.57310605049133300781
-2.0399999618530273438,-0.47117018699645996094
-1.9199999570846557617,-0.36105820536613464355
-1.8000000715255737305,-0.24436604976654052734
-1.6799998283386230469,-0.12295901775360107422
-1.5599999427795410156,0.0010794363915920257568
-1.4400000572204589844,0.12552034854888916016
-1.3200001716613769531,0.24808347225189208984
-1.1999998092651367188,0.36653149127960205078
-1.0799999237060546875,0.47876366972923278809
-0.96000009775161743164,0.58289724588394165039
-0.840000152587890625,0.67732012271881103516
-0.71999979019165039062,0.76072043180465698242
-0.59999990463256835938,0.83208990097045898438
-0.48000004887580871582,0.89070528745651245117
-0.36000013351440429688,0.93609869480133056641
-0.2399997711181640625,0.96801000833511352539
-0.11999988555908203125,0.98635011911392211914
3.7252902984619140625e-09,0.99115782976150512695
0.11999989300966262817,0.98257273435592651367
0.2399997711181640625,0.96081393957138061523
0.36000013351440429688,0.92617428302764892578
0.48000001907348632812,0.87902420759201049805
0.59999990463256835938,0.81982475519180297852
0.71999979019165039062,0.74915093183517456055
0.84000009298324584961,0.66771674156188964844
0.95999997854232788086,0.57640177011489868164
1.0799999237060546875,0.4762713015079498291
1.1999998092651367188,0.36859172582626342773
1.3200004100799560547,0.2548287510871887207
1.4400002956390380859,0.13663570582866668701
1.5599999427795410156,0.015820920467376708984
1.6799998283386230469,-0.10569906234741210938
1.800000309944152832,-0.22594811022281646729
1.9200001955032348633,-0.34295690059661865234
2.0400002002716064453,-0.45482364296913146973
2.1600000858306884766,-0.55976682901382446289
2.2799999713897705078,-0.6561724543571472168
2.3999998569488525391,-0.74262100458145141602
2.5200006961822509766,-0.81790935993194580078
2.6400005817413330078,-0.88104999065399169922
2.7600004673004150391,-0.93126714229583740234
2.8800003528594970703,-0.96798598766326904297
3,-0.99081575870513916016
3.1199998855590820312,-0.99953740835189819336
3.2399997711181640625,-0.9940935969352722168
3.3599996566772460938,-0.97458589076995849609
3.479999542236328125,-0.94127690792083740234
3.6000006198883056641,-0.89459455013275146484
3.7200007438659667969,-0.83514791727066040039
3.8400003910064697266,-0.76372969150543212891
3.9600005149841308594,-0.6813259124755859375
4.0799999237060546875,-0.58911663293838500977
4.1999998092651367188,-0.48845881223678588867
4.31999969482421875,-0.38086786866188049316
4.4399995803833007812,-0.26798039674758911133
4.5600004196166992188,-0.15150220692157745361
4.6800007820129394531,-0.033160205930471420288
4.8000001907348632812,0.085358455777168273926
4.9200005531311035156,0.20247134566307067871
5.0399999618530273438,0.31673732399940490723
5.1600003242492675781,0.42690557241439819336
5.2799997329711914062,0.53193706274032592773
5.4000000953674316406,0.63102066516876220703
5.5200009346008300781,0.72356712818145751953
5.6400003433227539062,0.80920135974884033203
5.7600007057189941406,0.88773924112319946289
5.8800005912780761719,0.95916718244552612305
